,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,West Virginia,Washington,Wisconsin,Wyoming,Puerto Rico,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia,Florida,Georgia,Idaho,Hawaii,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan
Vietnam,"18,649","4,199","11,667",339,"5,875","9,590","2,076","16,251","3,215","24,886","23,814",489,"11,801","14,358","21,647","33,139","1,170","5,526",545,"8,790","177,574","6,807",565,"42,986",655,"55,863","3,471",66,,"6,056","1,036","20,732","4,174","514,856","17,685","7,056","1,222","1,526","51,824","37,689","1,432","9,181","21,237","6,461","7,217","10,995","4,157","20,309","1,271","19,394","37,267","12,037"
Poland,"2,007",377,"1,310",244,335,"1,582",720,"46,304",396,"70,385","3,529",229,"4,758",584,"1,066","12,491","1,231","1,635",65,"1,017","6,940",658,460,"3,494",167,"4,394","4,150",37,,337,234,"5,270",414,"21,581","3,914","24,898",609,655,"21,513","2,776",252,336,"129,891","2,469",373,398,449,345,507,"3,962","11,122","11,638"
Japan,"2,800",824,"2,017",535,974,"4,640",645,"9,150",950,"29,960","6,308",407,"7,449","1,433","6,359","4,967",586,"2,109",143,"4,310","15,521","2,205",421,"8,764",734,"18,193","1,593",135,,"1,813",673,"5,524","1,102","107,699","3,979","3,314",338,"1,117","10,972","7,276",817,"23,077","10,967","4,544",849,"1,450","3,087","1,350",553,"5,685","7,607","10,078"
Albania,119,0,"1,104",8,54,378,440,"5,154",53,"23,038",717,0,"2,027",49,144,"6,779",231,206,57,331,"2,091",50,11,896,32,232,"1,113",0,,6,11,703,16,"1,438",220,"4,342",0,280,"7,773",369,206,0,"4,853",296,102,92,234,5,118,687,"10,021","9,691"
Pakistan,"2,457",477,"3,737",127,298,"1,850",519,"24,038",636,"62,239","5,593",115,"3,869","1,897",975,"10,124",863,920,111,"1,796","58,890",916,119,"25,942",392,"5,192","2,435",75,,"1,582",158,"2,075","1,082","49,930","1,552","6,061",783,532,"14,000","11,672",154,103,"28,722","2,590",948,"1,473","1,122","1,924",212,"16,451","6,624","9,453"
Romania,"1,221",68,"1,347",138,282,"1,908",755,"6,478",272,"19,298","2,391",78,"6,359",417,"3,898","4,294",370,"1,214",88,"1,913","6,666",429,181,"3,259",67,"7,247","1,155",94,,533,154,"5,874",518,"24,269","2,028","2,493",174,462,"11,773","6,398",395,162,"15,374","1,065",325,360,308,613,286,"2,231","2,714","9,003"
Italy,827,310,"1,726",104,328,"2,225",926,"39,663",485,"94,469","3,675",56,"8,358",508,"1,182","18,434","2,730","1,245",47,"1,134","6,794",661,239,"4,441",504,"2,115","1,955",119,,445,148,"4,070",361,"31,789","1,705","17,375","1,061",939,"30,174","2,405",238,578,"18,928","1,718",483,589,611,770,377,"4,038","18,271","8,953"
Guatemala,"7,558","3,016","5,560",125,"8,901","13,493","1,070","43,819","2,209","62,085","18,946",222,"8,692","7,209","5,822","12,959","13,136","7,713","1,266","12,504","73,876","5,187",118,"30,780",478,"11,885","2,396",756,,"11,611",193,"13,682","4,741","276,542","6,383","15,455","4,652","3,303","80,751","33,173",767,893,"26,126","6,657","5,015","5,937","6,375","6,968",278,"34,922","29,658","7,610"
Russia,"6,783",455,"3,259",364,679,"2,653","1,213","20,398",770,"74,185","6,839",300,"9,931","1,361","5,718","15,241",992,"3,198",198,"3,083","15,404","1,714",436,"8,916",398,"19,322","3,699",263,,"1,234","1,726","4,420",508,"66,511","6,972","5,390",516,"1,182","24,611","7,856",672,587,"16,893","2,756","1,113","1,111","1,770",978,751,"9,715","19,210","6,840"
Other Eastern Europe,"1,277",28,"1,388",53,132,900,441,"7,702",133,"32,010","1,352",63,"4,799",450,"1,115","5,875",217,371,196,594,"3,611",614,161,"2,062",90,"3,858","2,295",55,,292,121,"2,052",132,"16,856","2,112","2,611",143,328,"7,889","1,736",526,181,"10,533","1,019",489,141,899,242,125,"2,862","4,690","6,703"
England,"2,682",942,"2,275",658,765,"4,433","1,782","10,305","1,357","24,137","8,414",173,"5,853","2,211","5,566","8,805","1,146","4,396",223,"3,918","20,150","2,922",843,"8,482",745,"9,509","2,879",584,,"2,031",490,"8,685",901,"60,351","6,529","6,483","1,095",798,"37,522","8,838","1,219",880,"7,973","3,378",938,"1,371","1,816","1,536","1,318","5,493","9,001","6,505"
"United Kingdom, excluding England and Scotland","2,533",576,"2,583",602,624,"3,001","1,968","11,819","1,461","32,280","9,081",161,"5,413","1,302","4,987","10,691","1,488","3,803",196,"3,280","25,147","2,274",798,"9,711",608,"10,798","2,471",396,,"1,660",348,"6,752","1,027","61,299","6,432","6,875",729,"2,001","35,883","8,982",483,"1,019","8,983","2,314",850,"1,516","1,208","1,517","1,081","6,616","13,431","6,442"
Syria,602,49,861,0,428,429,135,"5,658",113,"7,311","1,189",388,"2,899",416,488,"4,855",682,347,40,493,"5,352",147,11,"1,808",313,570,406,50,,73,34,"2,086",172,"26,671",411,"1,343",75,110,"4,874","1,617",101,97,"7,904",786,191,247,260,361,153,"1,189","2,977","5,808"
Bosnia and Herzegovina,"2,925",13,"9,211",28,776,785,734,"1,034",55,"7,902","1,773",877,"2,746",61,"1,023","3,096",93,391,314,720,"4,095","1,380",995,"2,672",0,"3,467","1,218",0,,26,80,"3,649",63,"4,871","1,504","2,864",24,105,"8,654","3,622","1,206",118,"9,452","1,744","6,001",313,"3,598",350,413,403,"1,705","5,781"
Ukraine,"4,493",89,"2,454",229,664,"1,067",873,"18,882",316,"76,570","4,552",110,"9,211",743,"9,194","18,841",402,"2,676",523,"1,813","5,756",821,267,"4,863",105,"31,620","2,163",130,,811,739,"1,780",398,"56,110","3,667","4,841",338,529,"15,406","3,576","1,467",256,"25,438","1,628",812,926,895,427,188,"6,910","9,549","5,176"
Taiwan,"1,818",559,"2,338",114,296,"3,823",360,"15,737",669,"31,548","3,901",75,"4,674","1,298","3,272","5,549",441,"1,145",10,"1,699","29,594","1,675",293,"7,728",192,"14,497","1,708",62,,940,241,"3,962",625,"179,867","3,067","2,193",600,435,"7,375","6,184",488,"2,830","8,357","1,880",714,922,706,940,132,"9,143","8,665","5,037"
Nigeria,"6,436",482,"2,537",46,730,890,364,"18,343","1,042","33,824","6,464",707,"5,448","2,420","1,321","7,146","2,201","1,574",66,"4,000","73,135",399,27,"5,753",458,"2,193","1,584",165,,"1,562",461,"2,542",470,"25,554","2,232","2,872","1,418","1,808","8,089","23,422",318,122,"16,131","6,362",487,"1,090","1,046","1,606",202,"35,590","8,106","4,570"
Cuba,"1,248",816,"2,759",112,"3,413","18,880",358,"44,141","1,835","25,336","7,432",53,"2,178","1,191","2,677","6,455",547,"2,534",136,"4,108","49,407",829,85,"7,012",310,"2,072","1,333",21,,"1,267",232,"6,990",601,"34,106","2,460","3,213",602,707,"970,958","11,590",88,164,"8,489","1,872",536,973,"9,870","4,641",328,"3,504","2,989","4,478"
Brazil,"2,354",444,"1,953",129,805,"3,054","1,816","29,646",745,"24,424","6,236",224,"3,454","1,062","2,288","10,504","1,437","2,990",133,"1,778","19,043","4,924",115,"6,317",207,"5,471","1,641",51,,"1,176",148,"2,387",646,"41,285","2,506","16,884",542,"1,541","88,398","11,631",556,"1,056","6,529","2,226",906,"1,464",960,"2,365",412,"8,848","69,386","4,356"
Jordan,800,245,"1,025",0,237,587,136,"5,644",180,"4,602","2,250",64,"3,840",398,835,"1,287",230,292,35,"1,114","7,636",88,0,"2,301",38,558,"1,033",14,,378,46,"1,561",464,"14,203",577,544,75,0,"3,621","1,096",23,28,"9,512",968,214,734,652,"1,341",158,889,955,"4,157"
Jamaica,"1,295",843,"1,412",69,265,"1,505",898,"42,651",307,"230,275","9,191",350,"4,658",637,432,"20,644",945,"3,835",136,"1,715","14,859",451,268,"9,669",349,"1,722","1,578",19,,"1,958",134,"1,931",271,"14,146","1,899","36,197","2,198","2,360","215,622","40,264",141,385,"7,190","1,321",459,466,868,"1,183",611,"26,583","19,271","4,140"
Saudi Arabia,"1,109",115,"1,721",172,467,448,247,"1,723",428,"3,378",810,170,"5,840","1,381","1,280","3,184",213,160,100,"1,820","8,252",799,150,"5,607",511,"2,856","1,513",117,,749,0,"2,189",420,"11,890","1,387","1,380",298,214,"4,174","1,473",767,65,"3,917","2,255",682,788,"1,978",684,20,"1,454","2,248","4,052"
Netherlands,905,293,684,289,148,907,564,"2,734",525,"5,607","1,808",37,"1,506",342,"2,219","2,269",204,665,110,648,"5,403","1,370",276,"2,187",90,"3,822","1,286",74,,405,205,"2,343",231,"17,654","1,633","1,363",258,448,"8,158","2,326",451,231,"2,490",908,439,358,313,327,327,"1,254","2,544","3,979"
Other Eastern Africa,"4,135",263,"2,048",78,"1,186",998,933,"3,126",444,"8,244","4,095",930,"3,655",942,882,"3,929",254,626,579,"2,154","16,021",812,419,"4,489",241,"3,380","1,168",66,,971,250,"3,559",385,"13,666","1,799","1,317",254,635,"6,977","4,762",797,256,"3,761","1,732","2,579",700,"2,116",718,"2,252","5,742","8,988","3,864"
Iran,"1,766",282,"1,589",146,420,"4,646",347,"5,308",900,"18,464","3,641",243,"3,509","2,020","4,056","4,363",277,"1,122",39,"3,083","27,523","1,444",130,"14,973",724,"7,604","1,037",121,,"1,031",142,"6,942",490,"205,396","3,236","1,528",585,"1,385","9,711","6,156",302,453,"6,778","1,439",385,"1,118","1,312",729,98,"11,495","6,244","3,711"
Macedonia,35,0,89,0,17,206,9,"4,573",3,"4,232",32,27,"1,383",44,158,319,93,142,0,64,488,0,12,193,0,171,654,17,,0,252,213,22,743,84,"1,004",0,28,980,67,54,16,"3,702","1,696",103,21,63,5,0,135,107,"3,574"
Laos,"24,413",101,894,89,510,"1,618",423,461,210,"2,227","7,294",3,"2,580","2,102","3,995","2,665","1,760","1,144",252,"4,154","9,110","1,476",124,"2,366",27,"6,218","16,269",2,,732,"1,288","1,284","2,920","53,027","2,578","2,128",176,0,"4,001","4,040",835,854,"3,674",780,"3,521","3,318",425,"1,173",4,574,"2,535","3,539"
Greece,485,69,393,35,168,824,"1,000","9,721",113,"29,423","2,510",47,"3,387",116,447,"5,833",586,"1,264",23,556,"3,138",408,157,"2,903",95,"1,030",991,60,,396,181,"1,252",96,"11,689",834,"4,124",402,248,"10,975",928,42,74,"14,109","1,858",185,199,246,484,236,"3,909","10,877","3,381"
Thailand,"18,549",507,"2,558",233,"2,314","5,592",969,"2,463",917,"13,455","5,623",190,"2,949","1,701","3,592","3,309",712,"2,118",930,"1,995","15,050","2,068",146,"7,886",246,"9,716","10,875",259,,"1,324","2,867","4,467","1,033","68,656","4,436","1,488",356,195,"12,590","4,968",579,"2,324","7,012","3,716","2,393","2,433","1,825","1,336",302,"3,997","5,092","3,315"
Egypt,"1,976",30,725,88,527,854,481,"29,380",206,"25,374","3,602",159,"2,946",545,"1,160","5,488",308,"1,030",190,"9,558","10,117",285,157,"9,109",281,"2,375",601,95,,465,42,"1,748",260,"35,533",766,"1,639",546,406,"11,204","2,908",144,206,"5,167","1,555",612,604,633,"1,088",171,"3,515","5,295","3,237"
Dominican Republic,"1,272",864,798,142,268,"1,977","3,734","167,377",473,"495,797","10,653",334,"5,472",425,165,"61,516","26,233","1,451",445,"1,668","10,305","1,005",63,"6,452",197,"1,326","1,268",0,,301,"1,433","1,696",273,"6,180","1,021","21,821","1,996","1,901","125,356","11,855",37,311,"3,513","2,038",167,691,617,"3,868",312,"12,876","86,889","3,209"
Burma,"7,771",27,"1,688",5,"3,950",843,81,"1,235",30,"13,556","3,888",0,"1,849","3,676","1,133","2,027",149,924,"1,372","2,049","13,398","1,214",37,"1,854",0,"2,523","2,577",9,,47,22,"2,143",260,"24,816","2,266",525,21,137,"3,942","4,284",336,211,"4,194","12,308","4,843","2,089","2,478",260,224,"4,119","1,616","3,175"
France,"1,335",270,991,153,254,"1,990",671,"6,035",710,"27,383","2,843",280,"2,459",433,"2,031","4,132",566,"1,845",22,"1,630","10,794",806,487,"5,213",263,"4,515","1,108",97,,"1,098",282,"3,343",688,"39,126","1,869","3,213",403,"2,362","18,532","3,616",411,632,"4,775","1,159",444,697,828,"1,269",492,"4,659","7,840","3,155"
El Salvador,"7,803",657,"3,759",21,"4,725","25,438",523,"47,782","1,980","109,733","30,618",86,"6,231","3,604","5,430","6,849","2,524","3,352",915,"8,986","206,561","7,295",108,"107,946",643,"12,240","1,117",503,,"2,374",622,"8,621","13,514","437,016","9,765","6,674","1,273","12,238","45,730","27,032","1,040",242,"9,996","8,005","3,569","4,091","2,138","5,861",513,"108,128","39,776","2,903"
Colombia,"3,721",776,"1,939",293,767,"4,050","1,347","81,211","1,196","102,754","14,738",602,"3,783","1,479","1,507","12,238","5,736","9,054",115,"3,107","46,451","3,106",279,"12,776",200,"3,940","2,264",48,,"1,475",673,"4,882",947,"44,344","4,310","15,177","1,213","2,089","262,304","21,723",660,618,"14,154","1,638",772,"1,509","1,669","2,104",315,"12,011","24,016","2,566"
Other Western Asia,994,95,587,54,227,466,131,"5,262",776,"17,206","1,082",75,"2,822",359,600,"3,175",258,469,34,557,"6,321",362,110,"3,056",95,"2,444",218,0,,184,100,"1,194",33,"14,713",991,990,165,437,"4,298","1,513",124,47,"2,427",934,321,391,658,352,77,"2,340","2,177","2,310"
"Asia,n.e.c.",440,181,803,0,69,243,38,"2,330",220,"3,273",975,0,"2,947",202,231,"1,172",109,217,42,501,"3,644",73,22,"1,359",41,760,839,8,,359,50,751,204,"11,111",324,328,167,36,"3,200",437,0,106,"6,794",450,138,201,395,"1,125",38,441,697,"2,277"
Other Western Africa,"3,696",153,772,48,"1,381",240,249,"4,481",131,"33,609","3,972",178,"7,210",385,220,"6,375",871,383,255,"2,244","6,326",501,62,"3,891",193,"3,596","1,418",90,,632,213,867,307,"3,617","1,883","1,718",170,"1,097","2,622","8,152",95,71,"3,658","2,037","1,062",470,"1,631",445,106,"14,322","2,490","2,234"
Ethiopia,"21,900",333,"2,425",54,793,"9,108",234,"2,082",176,"6,325","3,725",166,"6,232",788,"3,774","3,922",217,695,"2,182","3,839","20,331",522,95,"29,850",342,"18,461","1,213",86,,450,153,"1,968",208,"24,270","9,513",884,93,"5,815","3,184","14,317",125,34,"3,928","1,733","1,084","1,664","1,430",511,266,"24,001","4,967","2,154"
Honduras,"3,285","2,411","3,593",126,"1,528","3,964",758,"32,518",753,"53,777","32,547",64,"3,474","3,843",823,"7,906","1,004","7,647",190,"11,431","111,466","2,312",135,"34,352",264,"4,394","2,163",30,,"3,344",196,"3,772","2,589","60,441","4,775","6,999",417,"1,670","101,324","19,083",229,75,"10,648","5,562","2,003","2,902","2,815","29,600",63,"23,063","11,918","2,063"
Israel,551,30,539,3,139,"1,829",273,"8,787",171,"31,212","1,714",0,"1,677",426,641,"3,601",109,975,18,497,"4,608",160,70,"1,896",99,"2,893",599,0,,302,16,"1,877",69,"33,162","1,289","1,228",194,231,"13,344","3,129",43,216,"4,837",490,253,137,228,464,75,"3,071","4,511","1,968"
Nepal,"2,439",434,"1,483",122,"1,737",618,"2,242","1,767",432,"13,484","4,128",995,"6,864","1,095",600,"5,578",355,191,"1,054","1,587","18,578","1,820",678,"8,723",187,"2,753","1,036",92,,562,92,"1,243",349,"14,010","4,380","1,296",200,279,"1,301","3,252",418,327,"2,923",516,"1,092","1,371","1,859",833,173,"6,544","5,766","1,922"
Scotland,408,222,450,64,171,641,584,"2,871",188,"4,417","1,431",30,"1,448",271,"1,140","1,726",229,807,30,682,"4,219",584,182,"1,720",95,"1,765",387,116,,473,95,"1,594",228,"9,691",942,"1,247",311,30,"6,413","1,236",203,83,"1,708",778,255,208,399,233,280,"1,040","1,558","1,841"
"Africa, n.e.c.","2,359",199,"1,844",121,"1,047",776,429,"6,215",651,"14,338","3,705",588,"4,557",497,249,"5,351","1,320",693,234,"1,565","13,613",552,6,"3,032",116,"1,616",768,0,,710,287,"2,403",449,"7,728","1,859","1,710",671,784,"2,543","7,077",216,0,"6,042","1,905","1,755",331,983,725,53,"5,206","3,540","1,804"
Kenya,"13,178",35,"2,998",67,926,673,652,"6,156",249,"3,786","3,410",698,"3,594","1,116","1,594","3,736",233,719,192,"1,568","19,061",713,477,"3,976",11,"6,697","1,260",192,,"1,223",54,"2,616",139,"10,295","1,621",703,"2,027",391,"2,653","6,513",37,87,"2,686","1,496","1,141","3,353","1,531",396,508,"6,365","8,754","1,682"
Peru,"1,531",354,"1,076",251,693,"4,535",399,"60,409",463,"54,351","5,960",22,"4,161","1,590","2,159","7,760",778,"1,966",157,"2,081","20,396","6,088",231,"26,014",454,"4,130","1,305",243,,"1,029",554,"3,723",619,"74,440","5,884","13,575",422,"1,728","91,623","7,746","1,516",527,"7,908","2,157",443,709,932,"1,076",234,"16,961","7,313","1,676"
South Africa,"1,592",147,863,154,277,"1,126",302,"3,297",345,"6,140","3,306",365,"1,605",549,"1,011","2,598",85,"1,383",277,"1,021","8,934",845,83,"2,778",116,"3,011",697,64,,631,56,"2,509",548,"18,791","2,413","1,723",348,369,"11,205","4,721",299,423,"2,384",687,550,649,872,674,161,"2,304","2,659","1,611"
Turkey,996,145,524,134,304,623,382,"13,977",319,"18,894","2,196",34,"2,108",240,704,"4,193",377,556,50,719,"7,952",318,87,"5,345",201,"2,200",728,0,,536,184,"1,163",226,"17,367","1,085","1,895",836,317,"9,584","2,268",111,95,"4,478","1,010",191,237,191,413,172,"3,212","5,745","1,571"
Argentina,707,140,781,107,212,"1,982",148,"10,573",354,"20,731","3,688",16,"1,195",362,887,"3,832",280,873,135,"1,307","11,110","3,972",58,"4,877",145,"1,970","1,128",26,,289,159,"2,272",289,"33,205","2,216","3,031",326,"1,036","55,745","2,894",357,448,"4,593",870,303,440,437,575,150,"3,764","3,801","1,545"
Spain,"1,001",145,928,215,232,680,268,"9,244",806,"13,566","1,592",97,"1,462",259,657,"2,070",377,"1,267",143,499,"8,379","1,088",98,"2,654",223,"1,726",744,119,,479,33,"1,860",232,"15,757","1,611","2,079",191,"1,752","19,681","1,596",475,372,"3,024",986,474,444,393,760,156,"2,453","4,948","1,536"
Hong Kong,"1,383",75,820,98,209,"2,289",338,"8,691",230,"41,125","1,683",19,"1,618",328,"2,286","3,131",498,420,135,507,"8,773",971,76,"3,326",68,"8,808",611,38,,146,66,"2,142",181,"102,099","1,048","1,807",158,225,"5,277","1,794",261,"3,898","6,109",885,193,455,197,305,82,"3,626","8,289","1,524"
Venezuela,"1,344",238,"1,125",103,629,"1,332",143,"8,482",246,"13,144","5,506",66,"1,990","1,822",969,"3,414",438,"1,419",10,"2,342","36,831","3,703",92,"6,346",111,"1,832",800,103,,"1,182",127,"1,894",314,"10,327","2,416","2,760",328,752,"160,217","8,077",317,371,"3,258","1,750",334,617,958,"1,493",103,"2,788","5,469","1,524"
Australia,"1,210",242,797,110,278,862,300,"2,149",198,"10,715","1,633",55,"1,515",350,"1,751","1,787",127,718,76,948,"7,403","1,120",313,"1,810",222,"4,122",603,208,,494,191,"1,830",296,"21,536","2,349","1,232",42,741,"4,792","2,000",337,780,"2,440",835,385,382,344,349,353,"1,802","2,784","1,510"
Sri Lanka,763,160,364,15,96,911,71,"2,488",94,"6,254",532,116,"1,299",262,474,"1,237",116,109,14,448,"5,088",152,14,"1,548",75,"1,008",246,3,,246,24,868,63,"11,605",222,"1,115",123,256,"2,036","1,171",0,236,"1,216",371,234,479,254,391,19,"3,065","1,883","1,402"
Kuwait,438,78,249,16,67,106,60,"1,015",458,"1,583",586,8,"1,803",295,213,865,0,86,0,779,"4,243",135,26,"1,174",213,572,204,10,,374,0,"1,743",119,"6,074",473,224,31,91,"1,702",306,742,9,"1,860",379,60,275,177,237,22,530,981,"1,395"
Other Middle Africa,"1,165",15,"1,535",12,364,513,516,"2,056",387,"5,342","5,507",448,"1,897",393,752,"2,273",414,90,588,679,"13,431","1,090",675,"2,925",0,"1,474",334,22,,358,6,"2,388",83,"4,187","2,350","1,220",13,326,"2,036","4,239",314,35,"4,361","1,288","2,643",174,"2,716",63,"1,615","3,574","3,078","1,392"
Haiti,"1,121",116,998,40,240,480,659,"45,794",180,"128,209","5,230",155,"1,334",459,686,"15,798","2,848",796,92,"1,609","4,435",374,152,"3,761",128,"1,462",478,86,,"1,409",203,"1,120",105,"4,880","1,051","14,317","3,048",448,"325,644","12,390",191,159,"4,586","1,302",786,460,940,"1,424",227,"8,886","55,871","1,381"
Liberia,"12,227",169,"1,205",54,114,372,199,"6,020",0,"4,553","3,337","1,366","1,578",229,143,"11,702","2,592",507,684,"1,262","4,929",66,11,"2,053",116,717,903,0,,263,42,"1,291",70,"2,355",777,642,915,172,"1,334","3,641",100,48,"1,184",511,"1,911",28,774,37,85,"7,383","2,730","1,370"
Bulgaria,694,73,"1,308",47,67,"2,418",175,"2,809",118,"6,009",885,42,"1,521",108,678,"2,234",149,428,13,279,"2,672",437,62,"2,290",66,"1,999",617,60,,109,157,"1,392",52,"9,067","1,311",804,234,284,"4,809","2,320",394,133,"11,837",714,240,235,250,316,326,"1,321","3,418","1,354"
Ghana,"2,575",83,"1,099",107,279,338,108,"14,628",88,"31,385","3,664",393,"9,514",997,426,"5,098",409,287,65,"1,007","10,631",427,53,"15,237",203,"1,127",750,98,,316,99,"1,182",268,"7,129","3,057","4,652","1,525",585,"2,818","10,349",47,117,"7,039","1,357",382,601,724,381,108,"13,775","8,035","1,345"
Other Northern Africa,320,137,811,0,63,178,220,"2,223",83,"5,112",956,36,"2,144",182,386,"2,571",121,192,0,148,"2,946",131,19,"2,005",42,"1,386",264,29,,91,16,509,203,"6,284","1,190",932,41,192,"3,067",975,73,57,"2,098",547,186,473,708,311,140,785,"2,426","1,334"
Malaysia,"1,243",102,483,18,565,587,105,"2,070",82,"10,682","1,159",14,"1,140","1,154",988,"1,933",62,239,11,945,"7,613",433,91,"2,319",60,"2,408",851,3,,226,85,"1,351",149,"16,713","1,193",626,107,145,"2,246","2,137",213,443,"2,648","2,007","1,028",727,469,309,53,"1,960","1,835","1,329"
Other South Central Asia,"1,102",37,647,75,965,355,"1,412",634,102,"9,012","3,003","1,089","11,002",25,"1,497","7,081",24,197,704,965,"4,199","1,024","1,511","2,617",6,"3,104",538,18,,54,92,"1,063",45,"3,234","2,276",121,75,71,"1,029","3,420",242,10,"3,209",78,"1,062",881,"2,233",10,9,"1,023","2,015","1,320"
